pregunta,respuesta
pronounce finance finance okay,um finance you know things to do with money
now number nine,we cannot you can pronounce we cannot just like
american sorry we cannot british english and for,american english stress the first syllable weekend but
do not ever pronounce weekend that weekend okay,we cannot or we cannot you know saturday and sunday
um and the last one um,when you see this one you can maybe you can see the similarity between
nature right so you think it is major or just like future or things like that,but actually actually this one is mature
mature mature or you can pronounce as t mature mature okay,or mature anything but usually i would pronounce this one mature mature
c h this one,ture sure
future future,feature feature
nature number three,tual chor
cho actually,actually puncture
puncture virtually,virtually s
t i o n,question question
suggestion suggestion,text
hi renee sarah good can you help me sure,thank you take this red paper
okay what are you doing,I am putting up decorations for lunar new year i do not know anything about lunar
new year how do you celebrate it well on lunar new years eve families get,together then they eat a big meal
what do you eat we eat,chicken fish noodles and dumplings
and parents give red envelopes to their,children red envelopes
the envelopes have money inside cool,we also wear new clothes look at my cheap house it is from my mom
it is really pretty how do you say that word again,pow is a traditional chinese dress
lunar new year sounds interesting i can write about it for the newspaper,great write about the diner too
why this month the diner has a lunar new,year menu we are serving delicious chinese food
all month okay,i can write about the diner but
i want a red envelope first you look great honey,whats the occasion very funny
why are you wearing running shorts tonights lunar new years eve,did you forget no
we are having dinner with my family i do not want to go,well we have to go change your clothes i put your new
clothes in your bag honey,why am i wearing this i feel silly
i like to wear traditional chinese clothes for lunar new year well be a,hit at dinner fine
I am not too excited about seeing my brother,last lunar new year he kept talking about his money
i understand but he has family i know,lets go happy lunar new year
i have a lot of work to do what are you working on,I am writing a column about lunar new year
the date of lunar new year changes every year did you know that yes it follows,the lunar calendar thats right
lunar new year is not just a chinese holiday did you know that many other,asian countries also celebrate new years on the same day
yes max how do you know all this when i cook,foods from different countries i like to learn about the culture too i love
reading about other cultures and foods cool,chinese called their new year chonjiye
and koreans call theirs and vietnamese call it pet but i do not,know much about their traditions do you i know some traditions
do all three holidays have the same traditions,they have similar traditions in all three countries people eat a big
meal with their families cool tradition so what are some of the differences,the food is different koreans enjoy rice cake soup vietnamese
eats sticky rice with meat it is wrapped in leaves i want to try to,make that lets stop talking about food
I am getting hungry ill cook some new years food for us,betty picks up a stuffed rat she gives the rat to sarah because it is
the year of the rat sarah has a gift for betty too,betty is happy but a little confused when she sees the
gift she is not sure what the gift is,thanks uh
what is it it is a chinese paper lantern,it is flat now pick up the top and it opens up
wow where did you get this lantern,in chicagos chinatown i went there with my brother last night
chicago thats far,you must have driven a long time it took us two hours it is okay
we had fun well thats good,we ate a lunar new years eve dinner in chinatown
ive always wanted to go to chinatown you should go,there will be a lunar new year parade on saturday max and i are going
will there be firecrackers yes do you want to go okay,I am sure we can find the best chinese food there
i do not think so i think max cooks the best chinese food,renee listens to them they are talking about maxs daily
special simon does not like it,max is not happy about that he loves his food
renee smiles she walks over to max and simon,whats wrong voice simon cannot appreciate good food
i can appreciate good food i just do not want this food,whats wrong with it simon well
it is strange it is,yes whats so strange about it
simon it is slimy and,it smells a little strange too it smells okay to me simon simon just
try it it tastes really good but simon come on,one bite cannot hurt you and you may really like it
all right hey,this is really good see my food is good
yes it is renee bring me another plate of this,i love it okay honey coming right up
hi sarah how was school great,we are doing presentations on world festivals
my presentation is next week which festival will you talk about,the winter carnival in quebec i can make snow cones for everyone
great idea i can help you,or you can present australia day and talk about the cockroach races i can
help you i found some cockroaches,ben you brought cockroaches into our house
sarah they are safe in the box do not worry,when is this winter carnival in quebec in february
it is the biggest winter carnival in the world,there are many cultural events and they have a night parade
we should go no thanks,ill stay with my new friends maybe you can visit this winter carnival
one day bring lots of warm clothes,now lets enjoy some snow cones
great job you are ready for your presentation,i can see that you did a lot of research yeah
well done so,where are our snow cones ben I am just practicing
fine lets have snow cones at our small town,festival what festival
ben wants to have a small town festival what do you think,i think thats a great idea we do have our own culture here we can
have all kinds of events we can have a fast talking contest,betty would win you are right
i can dance and i can hold cockroach races,what i have my box of cockroaches
right here ben,a restaurant is not the best place for those
and why do you have them they are for the cockroach races,you did say we could have all kinds of events thats true
it would be an interesting way to celebrate small town,how many cockroaches are in there six
do you want to see them no one,two three four five
uhone is missing,theres my beautiful junior reporter hi betty
theres something different about you dear,i know your hair is a different color
no hmm,are you taller
no betty I am the same old me well,you look wonderful thanks betty
so do you have any assignments for me yes i do,i need a writer for my new travel column and are you asking me to write it yes
you are an excellent writer youll do a good job,thanks betty so whats my first column about
for your first column i want you to write about dubai city,dubai city where is that
it is a city in the middle east are there a lot of interesting things in,dubai city there are for example
they have a place to go skiing inside,really fun
yes and right now workers are building the bird to buy,thats the tallest building in the world great
ill be sure to write about that good can you finish this assignment by,thursday ill do my best excellent i cannot wait
to read it betty is in the post office,she picks up a big bag it is very heavy
there are a lot of letters and packages inside the bag simon smiles,he is very excited about his package he wants it now
betty looks inside the bag i am looking,i am looking for a package it is not a big package
okay is your name on the box or is renees,name on the box my name is on there simon way
hmm that is strange i do not see any mail for,you really
are you sure,here it is all right wait
this is not my package it is for simon monroe,sorry
well your package is not in this bag,let me look in the back
heres a magazine for renee but i do not see a package,it is here I am sure sorry
i cannot find it whats in the package,uh
nothing special sorry simon your package is not here,the mail is slow sometimes okay
another mail truck will come this afternoon,come back after four really
thanks betty you are a good mailman,I am not a mailman simon I am a postal worker
right sorry,well you are a great postal worker thanks simon
i enjoy helping people just last week i sorry i have to go now,see you later hey honey
did you go to the post office,was your package there yes i went but my package was not there
yet too bad,do you want to eat lunch here yes
ill go back to the post office if i have time this afternoon,good i have some cards to mail can i give them to you
sure hey,these cards do not have any envelopes or stamps i know i do not have any
can you buy some envelopes and stamps for me dear,okay how much are stamps now
they are 41 cents each I am sorry about your package,maybe itll be there when you go back what package
nothing it is not important,it is just something fun something fun
what is it when simon gets it hell show you,okay i like getting packages and letters my
friend writes a letter to me every month,why do not you use email no way
i like finding letters in my mailbox hey betty,we are not open yet thats okay
i just have a message for simon i found your package great,where is it in alaska
what why,the sender sent it to the wrong address the post office tracked your package
honey ill call girls exercise today about your dvds,dvds girls exercise
i ordered some girls exercise dvds,they have great exercises for my back simon is embarrassed because the dvds
are for women,the exercises work for men too it is okay simon i use girls exercise too
really yes,we can exercise together sarah
how are you hows your boyfriend,betty you know i do not have a boyfriend i know
but you will someday sorry,i asked too many personal questions i do not mind
guess what i just started a blog about life in,small town great do you write about me
of course i have to write about our towns post,mistress and the editor of our town newspaper thats right
hi girls phew,my favorite salesman what are you selling today
well you know whenever i come to town i always bring something interesting,we know well today is no different
here a book,open it hey
there are no pages in this book thats right you do not read this book,you keep things in it no thanks you
someday youll buy something from me betty,maybe number four smoothly smoothly smoothly
okay smoothie is the mixture of fruits and ice cream or milk,smoothie smoothie number five milkshake milkshake milkshake is the mixture of
ice cream or milk with flavor of fruits okay and then we shake them until it is,full of bubbles milkshake milkshake
number six milk milk,number seven cocktail cork tail tale american english
long or cocktail british english,cocktail cocktail cocktail is a mixture of fruit juice
and a kind of,strong alcoholic drinks okay cocktail eight coke or cola
coke or cola do you know cocacola okay the same,color soda
soda beer,beer lemonade lemonade is just like
lemon juice okay lemonade mineral water mineral water is the,natural water mineral water hot chocolate hot chocolate people like
to drink this one in the winter because it is hard it is warm okay hot chocolate,wine wine
champagne champagne remember this is ch but we,do not pronounce like chicken okay this is
champagne champagne,we usually drink champagne for the new year
coconut water coconut water okay so one more time smoothly smooth the,milkshake milkshake
milk milk,cocktail cocktail coke
color soda,beer lemonade
lemonade mineral water mineral water,hot chocolate hot chocolate
wine wine champagne,champagne coconut water coconut water
now lets go to some questions and answers what kind of beverage beverage,the same meaning with drink okay what kind of beverage do you usually drink
what kind of beverage do you usually drink i usually drink milk i usually,drink milk do you know how to make lemonade that
means can you make lemonade do you know how to make lemonade yes,of course i do of course they do it is very easy to make it is very easy to make
of course i do it is very easy to make sorry i do not know sorry i do not know,is this the is this cocktail good is this
cocktail good yes it is link them together yesterdays,very tasty yesterday is very tasty
not really it is okay not really it is okay,text
i love the beach meku hey roger,does this beach have cute lifeguards i do not know
how do i say help I am drowning,in chinese you can just say
jo ming can you swim patty,yes but maybe i can practice chinese with a
cute lifeguard patty do you need some sunscreen daisy,i can put it on your back for you no thanks i want a tan first
why my skin is too white,roger do you want some sunscreen not yet I am going in the water first are you
girls coming lets go,that was fun i love the ocean
me too swimming is fun,i like swimming in a pool better though the water is cleaner and it does not have
salt in it well you do not have to drink the ocean water,i did not try to drink it you splashed me the water went into my mouth
I am sorry no you are not you are right,there are not very many people in the ocean today
maybe chinese people do not like to swim no you are wrong,i see chinese people at the pool all the time
some of them are great swimmers,well maybe they are not here to swim
maybe they just come to the beach to have fun,thats why we are here hey guys lets go for a walk along the
beach okay,I am going to lie here on my towel a little longer i want a tan
come on you can go with us and get a tan at the,same time all right
but first you both really need to put on some,suntan lotion that was a fun walk paddy
but the rocks on the beach hurt my feet why did not you wear sandals i told you,to and I am hot too
we walked a long time we did,but i found some pretty rocks I am glad but lets go swimming now
i want to cool down that sounds good lets go swimming again,wait take my picture first okay
patty are you coming with us,no i want to look for more pretty rocks now
do you collect them yes,my brother and i always collect shells and rocks when we go to the beach
fun do you want some help we can look for,more rocks with you thats okay you two go swimming
sorry i mean,she meguian c are you okay you speak english
hey do i know you yes hello patty I am derek,you saw me at the tea house right
hi you look different with sunglasses on,sorry to bump into you thats okay are you looking for rocks too
no I am looking for my watch i lost it,I am sorry hey i can help you we can look for it
together okay thanks,I am sorry if you did not find your watch derrick
ill look for it again after we eat well help you too,thanks mmm this sandwich is so good yes it is
daisy I am so glad you could come down from taipei this weekend me too,ive had a lot of fun today and derek thanks for joining our picnic
thanks for inviting me do we have any more ice my drink is warm,no sorry
ill go to the store and get some for you patty well,ill go with you that girl is pretty
daisy would like her tan hey,her watch looks like mine really
maybe it is yours i i do not know lets find out come on,excuse me what time is it it is five oclock
thanks thats very nice watch may i see it,okay patty what are you doing just trust me
do you wear your watch very often i wear it all the time even today,outside in the sun yes
so your skin is probably white where the watch would be,just give me my watch back no this is not your watch
so where are we going,we are going to a special place i know but what kind of special place is it
is it a restaurant are we going to a buffet,a buffet are you hungry
no but i am curious patty this is not a mystery just enjoy,the day okay
are we going to a party patty okay okay,no more questions patty dear we are here
where are we we are in taipei,taipei hey
daisy lives here thats right we are going out with daisy today,really thats great go get her i can wait in the car okay
hello hi daisy we are here patty,I am coming okay
hi mrs jones thanks for inviting me you are welcome,dear and daisy please call me grandma okay grandma
I am excited about today me too we are going to have fun,well is everyone ready yes where are we going we are going to eat
american food really yay you miss home we know that so we wanted,to do some american things today thank you
that will be fun,I am so full
that was great food yes it was,thanks for treating us grandma you are welcome
where are we going now we are going to miramar,whats that it is a mall
no way i love malls we know,well what are we waiting for lets go is that a ferris wheel on top of the
building yes it is if you want to we can ride it later,i want to okay but first lets get tickets for our
movie we are seeing a movie too,yes we are going to the imax theater cool what movie are we watching youll see
hello we would like four tickets for the 230,imax movie okay what would you like to set can we
sit in the back row sure you choose your seats for a movie,theater here thats different
yes every ticket is an assigned seat,interesting can we also buy tickets for the ferris
wheel here yes how many would you like we want four tickets please,no problem that was fun
hey what time is it it is 2 10,we have 20 minutes before our movie starts can we get some popcorn
sure hey you,me yes you whats your problem
problem is something wrong sir yes,this kid just bumped into me and spilled his soda all over me
no i did not I am sorry sir,but are you sure we just got off the ferris wheel
I am sure i saw his red tshirt when did this happen,this happened ten minutes ago at two oclock
i looked at my watch when he bumped into me,I am sorry about your shirt sir but you have the wrong guy
roger couldnt have bumped into you yes mom I am fine,I am having a great time but i miss you
i love you too bye,how is your mother she has fine but she misses me
and you miss her well,yes but I am also having a lot of fun
there are so many interesting things here,and you can see more today we are going back to taroko gorge
i love the gorge i know,but today we are going to an aboriginal village for tourists
we can learn about their culture are there many aboriginal tribes on,taiwan there are 13 tribes we are visiting a village of the turoko
tribe today what can we do there,we can eat some aboriginal food and watch dances
that sounds fun where is brian,we are meeting him at his house does he know a lot about the village he
knows a lot about everything you can see a lot there and you can shop,too shop yes
you can buy some arts and crafts i can buy some from my family at home,here we are what a beautiful place
everything is so green i want to see everything,you will lets start at the visitor center
you can see a lot of things there yes,youll want to see the presentation about the aborigines youll learn a lot
great but what can brian the brain tell me,about them there are over
450 000 aborigines on taiwan now,they came here many years ago
some live here in the mountains others live on the plains,what did they do they fished or hunted they also did some
farming too and some of the mountain tribes were head hunters,but they do not hunt heads anymore
right of course not,the presentation will talk about it are the taroko a large tribe
no they are a small tribe the amis are a,large tribe many of them also live in the hualien
area they have a big harvest festival every,year it is a lot of fun
i want to see that maybe you can another time,if you do not have time this year then ill come back so i can see the
festival good,whats that building the architecture is wonderful
well see the presentation about the taroco tribe in there,then well look at the exhibits in another building
id like to see them well also see some of their arts and,crafts and some taroko women may be weaving
and later we can see some taroko dances i cannot wait,that was a good presentation i learned a
lot me too i did not know about their tattoos when i,first came to hualien years ago i saw those tattoos a lot now
i rarely see them only very old people have them now,is someone taking pictures of them they need to preserve that part of their
culture i know some people are doing that,the taroko women are very good at weaving
they use lots of colors now but they used to use only white with,some red and green weaving must take a lot of time
it does lets go back to the gift shop now i,want to buy something from my mother sure
but do not shop too long we still have more to see,can we see the dances now not now
well see them after dinner we can eat barbecued pork and bamboo,rice sounds interesting i want to try them
but we still have a couple of hours before,dinner lets go walk in the bamboo forest
it is above the visitors center we can see lots of plants and birds,there lets go
do you want to buy one,what are they they are poems in the toroku language
this one is all about bamboo really the writing is so pretty,what are you looking at this man is selling taroko poems do you
think i should buy one i think you should save your money those,are not taroko poems last time we started three questions and
answers today well continue to start the other three okay how how old is your,niece okay anyone here how old is your niece how old is your soninlaw how how
old is your cousin how old is your nephew okay,she has that is if that is a girl a woman if
that is a boy or a man we have to say he okay she has 10,years old you can say she has 10 that is still okay she has 10 or she has 10 years
old okay any any age is here she has 10 she has 20 she has five,does your fatherinlaw like dancing you you are asking about uh your relatives
hobby okay theres your fatherinlaw like dancing you can say theres your,motherinlaw does your grandparents like dancing
swimming singing playing golf playing tennis okay,if that is yes you say yes he does and you can add some more information he has
very good at dancing okay and if that is not you say no he does not and you can as,an information that he likes other hobbies okay so that is he likes women
that means like he does not like dancing but he likes women,uh how many
cousins do you have how many cousins do you have how many,nieces do you have how many nephews do you have okay
i have five cousins okay i have three cousins something like that,so again we have how old is your niece how old is your niece she has 10 years old
she has 10 years old does your fatherinlaw like dancing,does your fatherinlaw like dancing yes he does he has very good at dancing yes
he does he has very good at dancing no he does not he likes swimming no he does not,he likes swimming how many cousins do you have
how many cousins do you have i have five cousins i have five cousins,text
is dinner ready mom yes go get paul,he has eating dinner with us why
his parents are not home tonight okay,john there can you get the chopsticks sure
dinner smells good can i help,no no patty sit here I am back with paul
hi uncle john susie ie hi hello patty this is paul he is our neighbor,hi paul hey
lets eat everyone patty try some three cup chicken,three cups of chicken no
not three cups of chicken three cup chicken you need 3 cups of,ingredients 3 cup chicken is really good
mom is the best cook thanks and here is some fried rice,no thanks i love fried rice
mom makes it sometimes does your mom cook much chinese food,no mom cooks more american food
dad likes american food yes i remember,whats that dish oyster omelette
hmm yum,it is really good try it patty uh
okay this is,interesting hey patty do you want the fish head
fish head patty eat some vegetables,thanks susie this vegetable is kong xing tai
in english people call it water spinach kong shin tsai,i like it suzy
thanks for cooking dinner eat more,no thank you I am full
eat more i cannot the food is not that good excuse,me paul
what did you say uh,nothing eat more everyone
suzy aie how did you cook the eggplant,do you like it yes when my mom cooks eggplants they are usually brown but
these are purple i fry the eggplants in a wok with some,vinegar then the eggplant stay purple
my wife cooks the best chinese food i know,suzy ali you really cooked a lot of dishes
she did but you know at a wedding banquet there,are often eight courses of food
really if i went to one id probably be stuffed,why eight courses of food the number eight in chinese
sounds like good luck each dish has a special meaning too,thats very interesting ma
whats for dessert tonight i almost forgot,i made something special
thats my coin paul no it is not yes it is the coin is cool,it is gold give it back paul
i can share with you but it is not yours to share,it is mine brian it is okay if paul wants to share it let him
but it is not his both of you can have it,brian we can play with it together paul my teacher gave the coin to me
you were there is that true paul,no mr lee gave it to me
when did you take it from me paul what are you talking about,when did mr lee give the coin to you paul
let me think he gave it to me on april 31st,then paul is not the real owner the real owner is brian
how do you know patty because there is no april 31st the month,of april only has 30 days thats right
fine take your coin my,paul I am sorry okay sorry
i really do not like paul does he pick on you a lot,yes well
no not really,he gets picked on too paul just needs help sometimes we all do
he was not very polite no,i think paul is angry and sad his parents are not home very much
so we often invite him to eat dinner with us,i try to be nice but sometimes
it is hard I am glad you try brian,paul is a good kid paul was rude
yes but we need to be kind anyway we are nice to everyone all the time,either no
you are right susie ie well ill call pauls mother later,susie i can clean up no no
mom you have had a long day well clean,okay thank you
thank you suzy ie dinner was so good I am sorry i cannot take you to taipei,i know grandma do not worry i understand your cars in the shop we know
yes and can they fix my baby,i hope so your baby
it is just a car i know but i love my car,it is my baby whats wrong with your baby the brakes
are not very good i cannot drive a car without good brakes,thats right it is not safe you are going to tai bay and safety is
important do not worry grandma the train is safe,the train I am so excited i cannot go with you
I am sad about that but i have my english class this week,grandma you are a good teacher today roger can teach you about the
train you can take it to taipei i cannot wait,patty get a window seat the scenery is beautiful
when are you coming back tomorrow evening our train arrives back,at hualien station around 5 30 pm this is a nice train station
where is everyone traveling all over taiwan,taking the train is very convenient we even have
high speed rail high speed rail,that sounds fun what are those two people yelling about
let me find out is there a problem between the men and,the women it is interesting heres the mans story
the woman sat beside him on the train then the man went to sleep and she took,his wallet did she
she said no and she does not even remember this man,the man was in seat 48 but she was in seat 49
is everything okay patty you have a window seat beside me,you have seat 38 and i have seat 40 but then we are not beside each other
sure we are all the seats with even numbers are,together and all the seats with odd numbers are together wait a minute then
the man is lying brian dear journal,I am on the train roger is sleeping and brian is listening
to music i like my window seat something,interesting happened at the train station
a man lied about his missing wallet and blamed a woman for it,but she did not take his wallet because she did not sit beside him
the woman is okay now,it is interesting to watch people many people are talking on their cell
phones others are reading and many are sleeping,just like roger I am too excited to sleep
I am on my way to taipei i cannot wait to see taipei 101 and to,meet daisy rajas friend what a fun trip
from the train patty this is taipei,i like it patty
this is only taipei main station just wait until we get out into the city,do you have your ticket no i gave it to the train conductor
but he gave it back to you right look in your pocket,i found it
good you have to give it to the man at the,gate well also meet daisy there wheres daisy
shell be here soon lets just go through the gate,can i keep my ticket it would be a nice memory of my train trip
yes just get a stamp on your ticket,here you go patty thanks ill put it in my journal
hey theres daisy hi everyone,welcome to taipei daisy it is great to see you again
meet my cousin patty hi patty it is nice to meet you,daisy and i went to school together it is nice to meet you too
I am so excited me too,lets first go to my house and then we can go to taipei 101 for lunch
are we taking the bus yes lets go to the bus stop together,this is my first time to take the bus in taipei
you will have to show me what to do sure do you see this sign,it shows the bus number the bus stops at all these places
so which bus do we take this is our bus number,does our bus stop at your home it stops close to my home well have to
walk about a block when does our bus come,soon well have to wait here for the bus with
our number on it how much is the bus ride,it is only 15 nt thats cheaper than in america
when do we pay sometimes you pay when you get on the,bus sometimes you pay when you get off
well show you a sign on the bus the first character on it is shang,if the light behind that character is on you pay when you get on the bus
the second character is yeah if the light behind that character is on,you pay when you get off the bus stand good riding the bus is not a mystery
but maybe youll find another one to solve,you are a detective roger told me about you
here comes our bus so,why do people call this building taipei 101
well the building is in taipei,and it has a hundred and one floors wow thats tall
we have tall buildings at home but none are this tall,well lets go in which way is the entrance
it is over there come on,so what can we do here we can shop
i can see that there are a lot of stores what else can we do,we can go up to the observatory on the 89th floor we can see all of taipei from
up there fun but can we eat first I am hungry,the food court is downstairs follow me
okay I am full lets have some fun,lets go up to the observatory all right hey
theres a nice bookstore on the fourth floor can we stop there on the way sure,does this bookstore sell english books yes
this bookstore has a hundred and sixty thousand different english books wow,thats a lot lets go uh patty where are you going
the bookstore is this way right lets go wow this store is big,hey are there any travel books here
why do you want to look at travel books i want to find one about taiwan,did not you bring one with you no i forgot
well the travel books are straight ahead,ill show you I am going to walk around and look at
other books do not get lost,i will not hey patty did you find anything good
yes i did this book is really good,it is all about taiwan it even has a section on hualien
thats great how much is the book,589 nt okay
do you want to buy anything else yes does this store sell cds sure,they are around the corner follow me hey roger
where are you I am by the coffee shop are you guys,ready to go let me ask the girls
hey girls are you ready to go,I am ready i just need to buy my things okay roger well meet you at the
entrance okay but i have a question,what is it where is the entrance
I am a little lost just stay there and well come find you,dear journal
i had a great weekend my cousins and i explored taipei with our new friend,daisy daisy took us to see a lot of the sights
in taipei we went to the national palace museum,a place called shimon ding
how do you go to work,i usually go to work by bus do you usually travel by train yes i do
